Domain,Business Idea,Business Type,Initial Investment,Profit Potential,Target Market,Required Skills,Competition Level,Scalability
Gardening & Urban Farming,Indoor Plant Care Services,Offline,Low,Medium,International,"Plant Care, Soil Management, Organic Farming, Pest Control, Landscaping",Medium,High
Gardening & Urban Farming,Organic Vegetable Gardening,Offline,Low,High,International,"Plant Care, Soil Management, Organic Farming, Pest Control, Landscaping",High,Low
Gardening & Urban Farming,Hydroponic Farming,Hybrid,Low,High,International,"Plant Care, Soil Management, Organic Farming, Pest Control, Landscaping",High,Medium
Gardening & Urban Farming,Compost & Soil Improvement Services,Online,Medium,High,National,"Plant Care, Soil Management, Organic Farming, Pest Control, Landscaping",High,Medium
Gardening & Urban Farming,Home Garden Landscaping,Hybrid,High,Low,Local,"Plant Care, Soil Management, Organic Farming, Pest Control, Landscaping",High,High
Event Planning & Decoration,Wedding Planning Services,Offline,Medium,High,International,"Creativity, Budget Management, Vendor Coordination, Time Management, Decoration Skills",Low,Medium
Event Planning & Decoration,Birthday Party Decorations,Offline,High,Medium,Local,"Creativity, Budget Management, Vendor Coordination, Time Management, Decoration Skills",Medium,Low
Event Planning & Decoration,Corporate Event Management,Hybrid,High,Low,International,"Creativity, Budget Management, Vendor Coordination, Time Management, Decoration Skills",High,Low
Event Planning & Decoration,Baby Shower Planning,Online,High,High,National,"Creativity, Budget Management, Vendor Coordination, Time Management, Decoration Skills",High,Low
Event Planning & Decoration,Eco-Friendly Event Decorations,Hybrid,High,Medium,International,"Creativity, Budget Management, Vendor Coordination, Time Management, Decoration Skills",High,Medium
Jewelry Making,Handmade Silver Jewelry,Offline,High,High,Local,"Jewelry Crafting, Beadwork, Metal Engraving, Designing, Resin Art",Medium,High
Jewelry Making,Resin-Based Jewelry Business,Hybrid,Low,Low,Local,"Jewelry Crafting, Beadwork, Metal Engraving, Designing, Resin Art",Medium,High
Jewelry Making,Beaded Necklace & Bracelets,Hybrid,Low,High,International,"Jewelry Crafting, Beadwork, Metal Engraving, Designing, Resin Art",Low,Low
Jewelry Making,Personalized Name Jewelry,Online,Low,Low,Local,"Jewelry Crafting, Beadwork, Metal Engraving, Designing, Resin Art",High,Low
Jewelry Making,Upcycled Jewelry Creations,Offline,High,Low,Local,"Jewelry Crafting, Beadwork, Metal Engraving, Designing, Resin Art",High,Medium
Embroidery & Knitting,Handmade Woolen Sweaters,Offline,High,High,National,"Hand Embroidery, Knitting, Crocheting, Pattern Making, Sewing",Low,High
Embroidery & Knitting,Custom Embroidered Sarees,Offline,Medium,High,Local,"Hand Embroidery, Knitting, Crocheting, Pattern Making, Sewing",High,Low
Embroidery & Knitting,Personalized Embroidery Gifts,Offline,Low,Low,National,"Hand Embroidery, Knitting, Crochet, Pattern Making, Sewing",Low,Medium
